pos_dic,Up,Down,total,Polarity Score,Polarity
컨트롤/NNG,24,8,32,1.9560905232067003,Hawkish
신사업/NNG,154,46,200,2.182883627346608,Hawkish
걸린다/VV,25,7,32,2.328679194293691,Hawkish
견줘/VV,82,31,113,1.7247249774510691,Hawkish
보수/NNG,791,395,1186,1.3057110581067513,Hawkish
설득/NNG,77,23,100,2.182883627346608,Hawkish
모델/NNG,614,305,919,1.3126115642064635,Hawkish
공산품/NNG,26,11,37,1.5411622304052792,Hawkish
내수/NNG;확대/NNG,14,5,19,1.8256844883262535,Hawkish
건설/NNG;수주/NNG;감소/NNG,14,3,17,3.042807480543756,Hawkish
합법/NNG,26,7,33,2.4218263620654388,Hawkish
눌리/VV,16,4,20,2.608120697608934,Hawkish
판매가격/NNG;상승/NNG,17,7,24,1.58350185211971,Hawkish
경쟁입찰/NNG,82,31,113,1.7247249774510691,Hawkish
신주인수권/NNG,14,5,19,1.8256844883262535,Hawkish
환경경영/NNG,17,1,18,11.08451296483797,Hawkish
이전/NNG;금리/NNG;인하/NNG,24,7,31,2.2355320265219434,Hawkish
공정무역/NNG,15,3,18,3.260150872011167,Hawkish
대외/NNG;악재/NNG,25,11,36,1.481886760005076,Hawkish
플러스/NNG;전환/NNG,52,22,74,1.5411622304052792,Hawkish
풍선/NNG,21,4,25,3.4231584156117263,Hawkish
바다/NNG,42,19,61,1.4413298592049375,Hawkish
국제중재/NNG,15,7,22,1.3972075165762146,Hawkish
평상시/NNG,15,6,21,1.6300754360055836,Hawkish
통용/NNG,12,5,17,1.5648724185653602,Hawkish
존속/NNG,21,8,29,1.7115792078058631,Hawkish
관세청/NNG,35,17,52,1.342415064945775,Hawkish
마감일/NNG,27,11,38,1.600437700805482,Hawkish
생산/NNG;늘/VV,43,14,57,2.002664107092574,Hawkish
절반/NNG,760,355,1115,1.3958955846357677,Hawkish
물가/NNG;상승률/NNG;전망/NNG;상향/NNG,14,4,18,2.282105610407817,Hawkish
알짜/NNG,77,24,101,2.0919301428738324,Hawkish
이온/NNG,47,13,60,2.357339861300382,Hawkish
의대/NNG,45,16,61,1.833834865506282,Hawkish
전망/NNG;긍정적/VAX,39,14,53,1.816369771549079,Hawkish
거둬들이/VV,14,5,19,1.8256844883262535,Hawkish
플러그/NNG,17,7,24,1.58350185211971,Hawkish
도소매/NNG,69,24,93,1.8745867514064207,Hawkish
위험/NNG;해소/NNG,38,11,49,2.252467875207716,Hawkish
전망/NNG;높/VA,63,25,88,1.6431160394936284,Hawkish
특허/NNG,59,11,70,3.4972527536119795,Hawkish
산업/NNG;침체/NNG,12,5,17,1.5648724185653602,Hawkish
즉시/NNG,27,6,33,2.9341357848100507,Hawkish
글로벌/NNG;금리/NNG;인상/NNG,23,9,32,1.6662993345834856,Hawkish
하이/NNG,20,8,28,1.6300754360055838,Hawkish
윤창/NNG,111,7,118,10.339335622663988,Hawkish
미뤘/VV,32,9,41,2.318329508985719,Hawkish
대외/NNG;위험/NNG,29,8,37,2.363609382208097,Hawkish
